School Name,Projected Core Teacher Position Loss,Rep,Senate,ERSB,100% Funding,Positions 100%,95% Funding,Positions 95%,90% Funding,Positions 90%,85% Funding,Positions 85%,80% Funding,Positions 80%
NICHOLSON,-2,6,3,9A,"$2,068,763 ",21,"$1,681,824 ",17,"$1,294,885 ",13,"$907,945 ",9,"$521,006 ",5
NIGHTINGALE,-4,1,1,7B,"$2,760,950 ",28,"$2,244,545 ",22,"$1,728,140 ",17,"$1,211,735 ",12,"$695,330 ",7
NINOS HEROES,-2,26,13,10B,"$1,248,896 ",12,"$1,015,304 ",10,"$781,712 ",8,"$548,120 ",5,"$314,527 ",3
NIXON,-3,3,2,3B,"$2,217,808 ",22,"$1,802,991 ",18,"$1,388,175 ",14,"$973,359 ",10,"$558,542 ",6
NOBEL,-3,4,2,3B,"$1,854,719 ",19,"$1,507,814 ",15,"$1,160,910 ",12,"$814,005 ",8,"$467,101 ",5
NORTH RIVER,-1,40,20,3A,"$1,182,999 ",12,"$961,732 ",10,"$740,465 ",7,"$519,198 ",5,"$297,932 ",3
NORTH-GRAND HS,-6,4,2,3B,"$3,580,714 ",36,"$2,910,981 ",29,"$2,241,248 ",22,"$1,571,515 ",16,"$901,783 ",9
NORTHSIDE PREP HS,-1,15,8,2B,"$3,074,322 ",31,"$2,499,304 ",25,"$1,924,286 ",19,"$1,349,269 ",13,"$774,251 ",8
NORTHWEST,-2,3,2,3B,"$1,724,945 ",17,"$1,402,313 ",14,"$1,079,681 ",11,"$757,049 ",8,"$434,418 ",4
NORWOOD PARK,-2,20,10,1A,"$1,048,704 ",10,"$852,556 ",9,"$656,407 ",7,"$460,259 ",5,"$264,110 ",3
OGDEN ES & HS,0,#N/A,#N/A,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A
OGLESBY,-1,31,16,9A,"$1,051,105 ",11,"$854,508 ",9,"$657,910 ",7,"$461,313 ",5,"$264,715 ",3
OKEEFFE,-1,25,13,10A,"$1,796,105 ",18,"$1,460,163 ",15,"$1,124,222 ",11,"$788,280 ",8,"$452,339 ",5
ONAHAN,-2,20,10,1A,"$1,858,210 ",19,"$1,510,652 ",15,"$1,163,095 ",12,"$815,537 ",8,"$467,980 ",5
ORIOLE PARK,-3,20,10,1A,"$1,822,772 ",18,"$1,481,843 ",15,"$1,140,914 ",11,"$799,984 ",8,"$459,055 ",5
OROZCO,-1,24,12,7A,"$1,089,424 ",11,"$885,660 ",9,"$681,895 ",7,"$478,130 ",5,"$274,365 ",3
ORR HS,-2,10,5,5A,"$1,377,207 ",14,"$1,119,616 ",11,"$862,025 ",9,"$604,433 ",6,"$346,842 ",3
ORTIZ DE DOMINGUEZ,-3,23,12,7A,"$1,711,667 ",17,"$1,391,518 ",14,"$1,071,370 ",11,"$751,222 ",8,"$431,074 ",4
OTIS,-1,10,5,5B,"$1,785,151 ",18,"$1,451,259 ",15,"$1,117,366 ",11,"$783,473 ",8,"$449,580 ",4
OTOOLE,0,6,3,9A,"$1,211,859 ",12,"$985,194 ",10,"$758,529 ",8,"$531,865 ",5,"$305,200 ",3
OWEN,-1,31,16,8A,"$1,010,581 ",10,"$821,563 ",8,"$632,545 ",6,"$443,527 ",4,"$254,509 ",3
OWENS,-2,28,14,9B,"$1,489,474 ",15,"$1,210,885 ",12,"$932,295 ",9,"$653,705 ",7,"$375,116 ",4
PALMER,-1,15,8,1B,"$2,234,029 ",22,"$1,816,179 ",18,"$1,398,328 ",14,"$980,478 ",10,"$562,628 ",6
PARK MANOR,0,32,16,6B,"$1,249,345 ",12,"$1,015,669 ",10,"$781,993 ",8,"$548,317 ",5,"$314,641 ",3
PARKER,-2,32,16,6B,"$1,840,310 ",18,"$1,496,101 ",15,"$1,151,891 ",12,"$807,681 ",8,"$463,472 ",5
PARKSIDE,-1,26,13,10A,"$1,143,917 ",11,"$929,960 ",9,"$716,003 ",7,"$502,046 ",5,"$288,089 ",3
PASTEUR,-3,22,11,8A,"$2,128,782 ",21,"$1,730,617 ",17,"$1,332,452 ",13,"$934,287 ",9,"$536,122 ",5
PAYTON HS,-3,12,6,6A,"$3,495,353 ",35,"$2,841,586 ",28,"$2,187,819 ",22,"$1,534,052 ",15,"$880,285 ",9
PECK,-4,22,11,7B,"$2,452,392 ",25,"$1,993,699 ",20,"$1,535,006 ",15,"$1,076,314 ",11,"$617,621 ",6
PEIRCE,-3,14,7,2B,"$3,136,351 ",31,"$2,549,732 ",25,"$1,963,112 ",20,"$1,376,492 ",14,"$789,872 ",8
PENN,0,9,5,5B,"$1,128,300 ",11,"$917,264 ",9,"$706,228 ",7,"$495,192 ",5,"$284,156 ",3
PEREZ,-1,24,12,7A,"$1,228,943 ",12,"$999,083 ",10,"$769,222 ",8,"$539,362 ",5,"$309,502 ",3
PERSHING,-3,5,3,6B,"$1,566,622 ",16,"$1,273,603 ",13,"$980,584 ",10,"$687,564 ",7,"$394,545 ",4
PETERSON,-4,15,8,2B,"$2,538,502 ",25,"$2,063,704 ",21,"$1,588,905 ",16,"$1,114,106 ",11,"$639,308 ",6
PHILLIPS HS,-4,5,3,6B,"$1,573,377 ",16,"$1,279,094 ",13,"$984,812 ",10,"$690,529 ",7,"$396,246 ",4
PHOENIX MILITARY HS,-2,10,5,5B,"$1,409,857 ",14,"$1,146,159 ",11,"$882,461 ",9,"$618,763 ",6,"$355,064 ",4
PICCOLO,-3,4,2,3B,"$2,078,563 ",21,"$1,689,791 ",17,"$1,301,019 ",13,"$912,247 ",9,"$523,474 ",5
PICKARD,-2,24,12,7A,"$1,346,818 ",13,"$1,094,911 ",11,"$843,003 ",8,"$591,096 ",6,"$339,189 ",3
PILSEN,0,24,12,7A,"$1,080,278 ",11,"$878,224 ",9,"$676,170 ",7,"$474,116 ",5,"$272,062 ",3
PIRIE,0,34,17,10B,"$917,513 ",9,"$745,902 ",7,"$574,291 ",6,"$402,681 ",4,"$231,070 ",2
PLAMONDON,0,9,5,5B,"$849,967 ",8,"$690,990 ",7,"$532,013 ",5,"$373,036 ",4,"$214,059 ",2
POE,0,34,17,10B,"$763,235 ",8,"$620,480 ",6,"$477,726 ",5,"$334,971 ",3,"$192,216 ",2
PORTAGE PARK,-3,19,10,1B,"$3,043,758 ",30,"$2,474,457 ",25,"$1,905,155 ",19,"$1,335,854 ",13,"$766,553 ",8
POWELL,-1,25,13,10A,"$1,874,696 ",19,"$1,524,055 ",15,"$1,173,414 ",12,"$822,773 ",8,"$472,132 ",5
PRESCOTT,0,40,20,4B,"$1,390,545 ",14,"$1,130,459 ",11,"$870,373 ",9,"$610,287 ",6,"$350,201 ",4
PRIETO,-2,3,2,3B,"$2,384,750 ",24,"$1,938,709 ",19,"$1,492,668 ",15,"$1,046,627 ",10,"$600,586 ",6
PRITZKER,-2,3,2,6A,"$1,765,272 ",18,"$1,435,098 ",14,"$1,104,923 ",11,"$774,748 ",8,"$444,574 ",4
PROSSER HS,-2,3,2,3B,"$3,934,426 ",39,"$3,198,535 ",32,"$2,462,645 ",25,"$1,726,754 ",17,"$990,863 ",10
PRUSSING,-1,19,10,1A,"$1,860,923 ",19,"$1,512,858 ",15,"$1,164,793 ",12,"$816,728 ",8,"$468,663 ",5
PULASKI,-2,39,20,6A,"$2,411,164 ",24,"$1,960,182 ",20,"$1,509,201 ",15,"$1,058,219 ",11,"$607,238 ",6
PULLMAN,0,34,17,10B,"$1,233,146 ",12,"$1,002,500 ",10,"$771,854 ",8,"$541,207 ",5,"$310,561 ",3
RABY HS,0,10,5,5B,"$1,131,056 ",11,"$919,504 ",9,"$707,953 ",7,"$496,402 ",5,"$284,850 ",3
RANDOLPH,-4,32,16,9A,"$1,505,041 ",15,"$1,223,540 ",12,"$942,038 ",9,"$660,537 ",7,"$379,036 ",4
RAVENSWOOD,-1,13,7,4A,"$1,627,078 ",16,"$1,322,751 ",13,"$1,018,424 ",10,"$714,097 ",7,"$409,770 ",4
RAY,-4,25,13,10A,"$1,961,734 ",20,"$1,594,813 ",16,"$1,227,893 ",12,"$860,972 ",9,"$494,052 ",5
REAVIS,-2,26,13,10A,"$1,444,092 ",14,"$1,173,991 ",12,"$903,889 ",9,"$633,788 ",6,"$363,686 ",4
REILLY,-4,40,20,3A,"$1,954,256 ",20,"$1,588,734 ",16,"$1,223,212 ",12,"$857,690 ",9,"$492,168 ",5
REINBERG,-1,3,2,1B,"$2,893,530 ",29,"$2,352,327 ",24,"$1,811,125 ",18,"$1,269,922 ",13,"$728,719 ",7
REVERE,0,5,3,10A,"$940,745 ",9,"$764,789 ",8,"$588,833 ",6,"$412,877 ",4,"$236,921 ",2
RICHARDS HS,-1,6,3,8B,"$1,438,356 ",14,"$1,169,327 ",12,"$900,299 ",9,"$631,270 ",6,"$362,242 ",4
RICHARDSON,-4,22,11,8A,"$2,358,557 ",24,"$1,917,415 ",19,"$1,476,273 ",15,"$1,035,131 ",10,"$593,989 ",6
RICKOVER MILITARY HS,1,19,10,1B,"$1,796,067 ",18,"$1,460,132 ",15,"$1,124,198 ",11,"$788,264 ",8,"$452,329 ",5
ROBINSON,0,26,13,10A,"$740,362 ",7,"$601,886 ",6,"$463,409 ",5,"$324,933 ",3,"$186,456 ",2
ROGERS,0,18,9,2A,"$2,621,347 ",26,"$2,131,053 ",21,"$1,640,760 ",16,"$1,150,466 ",12,"$660,172 ",7
ROOSEVELT HS,-6,40,20,3A,"$3,538,923 ",35,"$2,877,007 ",29,"$2,215,090 ",22,"$1,553,174 ",16,"$891,258 ",9
RUGGLES,0,34,17,10A,"$1,158,229 ",12,"$941,595 ",9,"$724,961 ",7,"$508,327 ",5,"$291,693 ",3
RUIZ,-2,24,12,7A,"$1,931,885 ",19,"$1,570,547 ",16,"$1,209,210 ",12,"$847,872 ",8,"$486,534 ",5
RYDER,0,31,16,9A,"$1,887,545 ",19,"$1,534,501 ",15,"$1,181,456 ",12,"$828,412 ",8,"$475,368 ",5
SABIN,-3,3,2,6A,"$1,320,660 ",13,"$1,073,645 ",11,"$826,630 ",8,"$579,616 ",6,"$332,601 ",3
SADLOWSKI,0,25,13,10B,"$2,509,302 ",25,"$2,039,965 ",20,"$1,570,628 ",16,"$1,101,291 ",11,"$631,954 ",6
SALAZAR,-4,12,6,6A,"$1,082,734 ",11,"$880,221 ",9,"$677,707 ",7,"$475,194 ",5,"$272,680 ",3
SANDOVAL,-3,1,1,7B,"$2,131,046 ",21,"$1,732,458 ",17,"$1,333,869 ",13,"$935,281 ",9,"$536,692 ",5
SAUCEDO,-4,24,12,7A,"$3,205,241 ",32,"$2,605,736 ",26,"$2,006,231 ",20,"$1,406,727 ",14,"$807,222 ",8
SAUGANASH,-1,15,8,1A,"$1,697,942 ",17,"$1,380,361 ",14,"$1,062,780 ",11,"$745,199 ",7,"$427,617 ",4
SAWYER,-4,1,1,7B,"$2,638,043 ",26,"$2,144,626 ",21,"$1,651,209 ",17,"$1,157,793 ",12,"$664,376 ",7
SAYRE,-2,78,39,5A,"$1,523,629 ",15,"$1,238,651 ",12,"$953,673 ",10,"$668,695 ",7,"$383,717 ",4
SCAMMON,-2,40,20,3A,"$1,909,878 ",19,"$1,552,656 ",16,"$1,195,435 ",12,"$838,213 ",8,"$480,992 ",5
SCHMID,0,34,17,10B,"$1,071,849 ",11,"$871,372 ",9,"$670,894 ",7,"$470,417 ",5,"$269,939 ",3
SCHUBERT,-3,39,20,3B,"$1,880,396 ",19,"$1,528,689 ",15,"$1,176,982 ",12,"$825,274 ",8,"$473,567 ",5
SCHURZ HS,-6,19,10,1B,"$4,176,870 ",42,"$3,395,632 ",34,"$2,614,395 ",26,"$1,833,158 ",18,"$1,051,921 ",11
SENN HS,-6,14,7,2B,"$4,093,600 ",41,"$3,327,937 ",33,"$2,562,275 ",26,"$1,796,612 ",18,"$1,030,950 ",10
SEWARD,-1,24,12,8B,"$1,413,559 ",14,"$1,149,168 ",11,"$884,778 ",9,"$620,387 ",6,"$355,997 ",4
SHERIDAN,-2,24,12,7B,"$1,430,432 ",14,"$1,162,885 ",12,"$895,339 ",9,"$627,793 ",6,"$360,246 ",4
SHERMAN,0,6,3,9A,"$1,029,288 ",10,"$836,771 ",8,"$644,254 ",6,"$451,737 ",5,"$259,220 ",3
SHERWOOD,0,5,3,6B,"$1,255,156 ",13,"$1,020,393 ",10,"$785,630 ",8,"$550,867 ",6,"$316,104 ",3
SHIELDS,-3,23,12,7B,"$1,651,212 ",17,"$1,342,371 ",13,"$1,033,530 ",10,"$724,689 ",7,"$415,848 ",4
SHIELDS MIDDLE,-2,1,1,8B,"$1,144,736 ",11,"$930,626 ",9,"$716,516 ",7,"$502,406 ",5,"$288,295 ",3
SHOESMITH,-2,25,13,10A,"$1,187,709 ",12,"$965,561 ",10,"$743,413 ",7,"$521,266 ",5,"$299,118 ",3
SHOOP,-1,27,14,9B,"$1,925,930 ",19,"$1,565,706 ",16,"$1,205,483 ",12,"$845,259 ",8,"$485,035 ",5
SIMEON HS,-1,31,16,10B,"$3,457,591 ",35,"$2,810,887 ",28,"$2,164,183 ",22,"$1,517,479 ",15,"$870,775 ",9
SKINNER,-3,10,5,5B,"$2,673,222 ",27,"$2,173,226 ",22,"$1,673,229 ",17,"$1,173,233 ",12,"$673,236 ",7
SKINNER NORTH,-1,9,5,6A,"$1,175,519 ",12,"$955,651 ",10,"$735,783 ",7,"$515,915 ",5,"$296,048 ",3
SMITH,2,34,17,10B,"$1,508,724 ",15,"$1,226,534 ",12,"$944,344 ",9,"$662,154 ",7,"$379,964 ",4
SMYSER,-3,19,10,1B,"$2,376,053 ",24,"$1,931,638 ",19,"$1,487,224 ",15,"$1,042,810 ",10,"$598,396 ",6
SMYTH,0,9,5,7A,"$1,673,078 ",17,"$1,360,148 ",14,"$1,047,217 ",10,"$734,286 ",7,"$421,355 ",4
SOCIAL JUSTICE HS,-4,23,12,7A,"$1,184,701 ",12,"$963,116 ",10,"$741,531 ",7,"$519,945 ",5,"$298,360 ",3
SOLOMON,-1,15,8,1A,"$1,541,982 ",15,"$1,253,571 ",13,"$965,161 ",10,"$676,750 ",7,"$388,339 ",4
SOLORIO HS,-5,1,1,7B,"$3,651,109 ",37,"$2,968,209 ",30,"$2,285,310 ",23,"$1,602,410 ",16,"$919,511 ",9
SOR JUANA,-1,22,11,8A,"$1,425,580 ",14,"$1,158,941 ",12,"$892,302 ",9,"$625,663 ",6,"$359,024 ",4
SOUTH LOOP,0,6,3,8B,"$2,311,407 ",23,"$1,879,084 ",19,"$1,446,761 ",14,"$1,014,438 ",10,"$582,115 ",6
SOUTH SHORE ES,0,26,13,10A,"$1,466,568 ",15,"$1,192,263 ",12,"$917,958 ",9,"$643,652 ",6,"$369,347 ",4
SOUTH SHORE INTL HS,-4,33,17,10B,"$2,282,109 ",23,"$1,855,266 ",19,"$1,428,423 ",14,"$1,001,580 ",10,"$574,736 ",6
SPENCER,-1,8,4,5A,"$1,557,921 ",16,"$1,266,529 ",13,"$975,137 ",10,"$683,745 ",7,"$392,354 ",4
SPRY ES,-3,23,12,7A,"$1,428,176 ",14,"$1,161,052 ",12,"$893,927 ",9,"$626,803 ",6,"$359,678 ",4
SPRY HS,0,23,12,7A,"$771,399 ",8,"$627,118 ",6,"$482,836 ",5,"$338,554 ",3,"$194,273 ",2
STAGG,-1,31,16,9A,"$1,475,706 ",15,"$1,199,692 ",12,"$923,677 ",9,"$647,663 ",6,"$371,648 ",4
STEINMETZ HS,-6,3,2,1B,"$3,649,839 ",36,"$2,967,177 ",30,"$2,284,516 ",23,"$1,601,854 ",16,"$919,192 ",9
STEM,-1,9,5,7A,"$1,244,428 ",12,"$1,011,672 ",10,"$778,915 ",8,"$546,159 ",5,"$313,402 ",3
STEVENSON,-4,32,16,8A,"$3,729,872 ",37,"$3,032,241 ",30,"$2,334,610 ",23,"$1,636,979 ",16,"$939,347 ",9
STONE,-2,16,8,2A,"$1,772,432 ",18,"$1,440,918 ",14,"$1,109,404 ",11,"$777,891 ",8,"$446,377 ",4
STOWE,-2,4,2,3B,"$2,006,907 ",20,"$1,631,538 ",16,"$1,256,168 ",13,"$880,798 ",9,"$505,428 ",5
SUDER,1,10,5,5B,"$1,576,337 ",16,"$1,281,501 ",13,"$986,665 ",10,"$691,828 ",7,"$396,992 ",4
SULLIVAN HS,-6,14,7,2A,"$2,667,745 ",27,"$2,168,773 ",22,"$1,669,801 ",17,"$1,170,829 ",12,"$671,857 ",7
SUMNER,0,10,5,5B,"$1,076,071 ",11,"$874,804 ",9,"$673,537 ",7,"$472,270 ",5,"$271,002 ",3
SUTHERLAND,0,35,18,9B,"$2,049,035 ",20,"$1,665,786 ",17,"$1,282,537 ",13,"$899,287 ",9,"$516,038 ",5
SWIFT,-1,14,7,2B,"$1,998,710 ",20,"$1,624,873 ",16,"$1,251,037 ",13,"$877,200 ",9,"$503,364 ",5
TAFT HS,-6,20,10,1A,"$10,805,817 ",108,"$8,784,709 ",88,"$6,763,601 ",68,"$4,742,493 ",47,"$2,721,384 ",27
TALCOTT,-3,4,2,5B,"$1,749,097 ",17,"$1,421,947 ",14,"$1,094,798 ",11,"$767,649 ",8,"$440,500 ",4
TALMAN,-1,1,1,7B,"$1,385,387 ",14,"$1,126,265 ",11,"$867,144 ",9,"$608,023 ",6,"$348,902 ",3
TANNER,-1,32,16,6B,"$1,303,995 ",13,"$1,060,097 ",11,"$816,200 ",8,"$572,302 ",6,"$328,404 ",3
TARKINGTON,-4,32,16,8A,"$2,443,255 ",24,"$1,986,271 ",20,"$1,529,287 ",15,"$1,072,304 ",11,"$615,320 ",6
TAYLOR,-1,25,13,10B,"$1,423,037 ",14,"$1,156,874 ",12,"$890,711 ",9,"$624,547 ",6,"$358,384 ",4
TELPOCHCALLI,0,24,12,7A,"$1,105,501 ",11,"$898,729 ",9,"$691,957 ",7,"$485,186 ",5,"$278,414 ",3
THORP J,-1,25,13,10B,"$1,635,245 ",16,"$1,329,390 ",13,"$1,023,536 ",10,"$717,682 ",7,"$411,827 ",4
THORP O,-3,19,10,1B,"$2,727,103 ",27,"$2,217,029 ",22,"$1,706,954 ",17,"$1,196,880 ",12,"$686,806 ",7
TILDEN HS,-2,6,3,9A,"$1,351,120 ",14,"$1,098,408 ",11,"$845,696 ",8,"$592,984 ",6,"$340,272 ",3
TILL,-2,5,3,6B,"$1,330,658 ",13,"$1,081,773 ",11,"$832,889 ",8,"$584,004 ",6,"$335,119 ",3
TILTON,-1,10,5,5B,"$1,115,082 ",11,"$906,519 ",9,"$697,955 ",7,"$489,391 ",5,"$280,827 ",3
TUBMAN,-1,11,6,4B,"$1,438,904 ",14,"$1,169,773 ",12,"$900,642 ",9,"$631,511 ",6,"$362,380 ",4
TURNER-DREW,0,27,14,9B,"$1,000,467 ",10,"$813,340 ",8,"$626,214 ",6,"$439,088 ",4,"$251,962 ",3
TWAIN,-2,1,1,8A,"$2,507,302 ",25,"$2,038,339 ",20,"$1,569,376 ",16,"$1,100,413 ",11,"$631,450 ",6
UPLIFT HS,-1,13,7,4A,"$1,498,379 ",15,"$1,218,124 ",12,"$937,869 ",9,"$657,613 ",7,"$377,358 ",4
VANDERPOEL,-1,35,18,9B,"$986,912 ",10,"$802,321 ",8,"$617,730 ",6,"$433,139 ",4,"$248,548 ",2
VOLTA,-3,40,20,2B,"$2,236,455 ",22,"$1,818,151 ",18,"$1,399,847 ",14,"$981,543 ",10,"$563,239 ",6
VON LINNE,-2,40,20,3A,"$1,952,877 ",20,"$1,587,613 ",16,"$1,222,349 ",12,"$857,085 ",9,"$491,821 ",5
VON STEUBEN HS,-1,15,8,2B,"$4,206,064 ",42,"$3,419,367 ",34,"$2,632,669 ",26,"$1,845,971 ",18,"$1,059,274 ",11
WACKER,0,27,14,9B,"$1,084,092 ",11,"$881,325 ",9,"$678,557 ",7,"$475,790 ",5,"$273,023 ",3
WADSWORTH,-2,5,3,6B,"$1,690,747 ",17,"$1,374,512 ",14,"$1,058,276 ",11,"$742,041 ",7,"$425,805 ",4
WALSH,0,24,12,7A,"$1,384,119 ",14,"$1,125,235 ",11,"$866,351 ",9,"$607,466 ",6,"$348,582 ",3
WARD J,-3,24,12,7B,"$1,606,178 ",16,"$1,305,760 ",13,"$1,005,342 ",10,"$704,925 ",7,"$404,507 ",4
WARD L,0,10,5,5A,"$1,374,874 ",14,"$1,117,719 ",11,"$860,564 ",9,"$603,409 ",6,"$346,254 ",3
WARREN,-2,25,13,10B,"$1,032,219 ",10,"$839,154 ",8,"$646,089 ",6,"$453,024 ",5,"$259,959 ",3
WASHINGTON G ES,-1,25,13,10B,"$1,797,929 ",18,"$1,461,646 ",15,"$1,125,364 ",11,"$789,081 ",8,"$452,798 ",5
WASHINGTON H ES,-2,33,17,10B,"$1,123,979 ",11,"$913,751 ",9,"$703,523 ",7,"$493,296 ",5,"$283,068 ",3
WASHINGTON HS,-6,25,13,10B,"$4,263,202 ",43,"$3,465,817 ",35,"$2,668,432 ",27,"$1,871,048 ",19,"$1,073,663 ",11
WATERS,-1,11,6,2B,"$1,944,760 ",19,"$1,581,014 ",16,"$1,217,268 ",12,"$853,523 ",9,"$489,777 ",5
WEBSTER,0,10,5,5B,"$980,337 ",10,"$796,976 ",8,"$613,614 ",6,"$430,253 ",4,"$246,892 ",2
WELLS ES,-2,5,3,6B,"$1,343,055 ",13,"$1,091,852 ",11,"$840,648 ",8,"$589,445 ",6,"$338,241 ",3
WELLS HS,-6,4,2,5B,"$1,359,436 ",14,"$1,105,168 ",11,"$850,901 ",9,"$596,634 ",6,"$342,366 ",3
WENTWORTH,-1,32,16,9A,"$1,957,692 ",20,"$1,591,527 ",16,"$1,225,363 ",12,"$859,198 ",9,"$493,034 ",5
WEST PARK,0,4,2,3B,"$1,719,449 ",17,"$1,397,845 ",14,"$1,076,241 ",11,"$754,637 ",8,"$433,033 ",4
WEST RIDGE,-1,16,8,2A,"$2,254,856 ",23,"$1,833,110 ",18,"$1,411,364 ",14,"$989,619 ",10,"$567,873 ",6
WESTCOTT,-2,31,16,10B,"$1,479,564 ",15,"$1,202,828 ",12,"$926,092 ",9,"$649,356 ",6,"$372,620 ",4
WESTINGHOUSE HS,-4,10,5,5B,"$3,540,085 ",35,"$2,877,952 ",29,"$2,215,818 ",22,"$1,553,684 ",16,"$891,551 ",9
WHISTLER,2,27,14,9B,"$1,217,475 ",12,"$989,760 ",10,"$762,044 ",8,"$534,329 ",5,"$306,614 ",3
WHITE,0,28,14,9B,"$811,179 ",8,"$659,457 ",7,"$507,735 ",5,"$356,013 ",4,"$204,291 ",2
WHITNEY,-4,23,12,7A,"$1,835,786 ",18,"$1,492,423 ",15,"$1,149,059 ",11,"$805,696 ",8,"$462,332 ",5
WHITTIER,0,24,12,7A,"$902,259 ",9,"$733,501 ",7,"$564,744 ",6,"$395,986 ",4,"$227,229 ",2
WILDWOOD,-1,15,8,1A,"$1,496,241 ",15,"$1,216,386 ",12,"$936,531 ",9,"$656,675 ",7,"$376,820 ",4
WILLIAMS HS,0,5,3,6B,"$752,455 ",8,"$611,717 ",6,"$470,978 ",5,"$330,240 ",3,"$189,502 ",2
WOODLAWN,3,5,3,10A,"$777,274 ",8,"$631,893 ",6,"$486,513 ",5,"$341,132 ",3,"$195,752 ",2
WOODSON,0,26,13,6B,"$1,280,955 ",13,"$1,041,367 ",10,"$801,778 ",8,"$562,190 ",6,"$322,601 ",3
WORLD LANGUAGE HS,-2,23,12,7A,"$1,634,038 ",16,"$1,328,409 ",13,"$1,022,780 ",10,"$717,152 ",7,"$411,523 ",4
YATES,0,3,2,3B,"$1,552,311 ",16,"$1,261,969 ",13,"$971,626 ",10,"$681,283 ",7,"$390,941 ",4
YOUNG ES,-2,78,39,5A,"$1,580,303 ",16,"$1,284,725 ",13,"$989,146 ",10,"$693,568 ",7,"$397,990 ",4
YOUNG HS,-6,10,5,5B,"$5,902,028 ",59,"$4,798,119 ",48,"$3,694,210 ",37,"$2,590,301 ",26,"$1,486,392 ",15
ZAPATA,-4,23,12,7A,"$2,278,165 ",23,"$1,852,060 ",19,"$1,425,954 ",14,"$999,849 ",10,"$573,743 ",6
